"","Var1","Var2","Freq"
"774","Noise - Street/Sidewalk","11225",1667
"775","Rodent","11225",323
"776","Food Establishment","11226",73
"777","Illegal Parking","11226",1076
"778","Noise - Commercial","11226",410
"779","Noise - Street/Sidewalk","11226",1831
"780","Rodent","11226",596
"781","Food Establishment","11228",26
"782","Illegal Parking","11228",2209
"783","Noise - Commercial","11228",30
"784","Noise - Street/Sidewalk","11228",73
"785","Rodent","11228",70
"786","Food Establishment","11229",67
"787","Illegal Parking","11229",1430
"788","Noise - Commercial","11229",75
"789","Noise - Street/Sidewalk","11229",266
"790","Rodent","11229",182
"791","Food Establishment","11230",72
"792","Illegal Parking","11230",2440
"793","Noise - Commercial","11230",159
"794","Noise - Street/Sidewalk","11230",176
"795","Rodent","11230",341
"796","Food Establishment","11231",37
"797","Illegal Parking","11231",826
"798","Noise - Commercial","11231",304
"799","Noise - Street/Sidewalk","11231",191
"800","Rodent","11231",148
"801","Food Establishment","11232",32
"802","Illegal Parking","11232",591
"803","Noise - Commercial","11232",94
"804","Noise - Street/Sidewalk","11232",223
"805","Rodent","11232",69
"806","Food Establishment","11233",70
"807","Illegal Parking","11233",905
"808","Noise - Commercial","11233",123
"809","Noise - Street/Sidewalk","11233",1026
"810","Rodent","11233",516
"811","Food Establishment","11234",53
"812","Illegal Parking","11234",2819
"813","Noise - Commercial","11234",197
"814","Noise - Street/Sidewalk","11234",216
"815","Rodent","11234",190
"816","Food Establishment","11235",103
"817","Illegal Parking","11235",1479
"818","Noise - Commercial","11235",431
"819","Noise - Street/Sidewalk","11235",138
"820","Rodent","11235",239
"821","Food Establishment","11236",57
"822","Illegal Parking","11236",1433
"823","Noise - Commercial","11236",113
"824","Noise - Street/Sidewalk","11236",201
"825","Rodent","11236",224
"826","Food Establishment","11237",62
"827","Illegal Parking","11237",594
"828","Noise - Commercial","11237",1100
"829","Noise - Street/Sidewalk","11237",1646
"830","Rodent","11237",386
"831","Food Establishment","11238",71
"832","Illegal Parking","11238",1460
"833","Noise - Commercial","11238",1298
